Store,Product,Price
eMAG,"Laptop Apple MacBook Air 13"" cu procesor Apple M2, 8 nuclee CPU si 8 nuclee GPU, 16GB RAM, 256GB SSD, Midnight, INT KB","4.399,99"
eMAG,"Laptop Gaming Lenovo LOQ 15IRX10 cu procesor Intel® Core i7-14700HX pana la 5.5GHz, 15.6"" Full HD, IPS, 144Hz, 32GB DDR5 RAM, 1TB SSD, NVIDIA® GeForce RTX™ 5060 8GB GDDR7, No OS, Luna Grey","8.912,03"
eMAG,"Laptop Gaming HP VICTUS 15-fa1033nn cu procesor Intel® Core™ i5-12500H pana la 4.5GHz, 15.6'', Full HD, IPS, 16GB DDR4, 512GB SSD, NVIDIA® GeForce RTX™ 4060 8GB GDDR6, Free DOS, Ceramic White","4.599,99"
eMAG,"Laptop Lenovo IdeaPad 5 2-in-1 14IAL10 cu procesor Intel® Core™ Ultra 5 225U pana la 4.8GHz, 14"" WUXGA, IPS, Touch, 16GB LPDDR5x RAM, 512GB SSD, Intel® Graphics, No OS, Cosmic Blue","5.283,31"
eMAG,"Apple MacBook Pro 14'' cu procesor Apple M5 Max, 18 nuclee CPU, 32 nuclee GPU, 36GB RAM, 2TB SSD, Silver, Tastatura Internationala, Manual RO","21.713,35"
eMAG,"Laptop Apple MacBook Air 15"", cu procesor Apple M4, 10 nuclee CPU si 10 nuclee GPU, 16GB RAM, 512GB, Silver, Tastatura Internationala, Manual RO","7.230,95"
eMAG,"Apple MacBook Neo 13"" Retina cu procesor Apple A18 Pro 6 nuclee CPU, 5 nuclee GPU, 16 nuclee NeuralEngine, 8GB RAM, 256GB SSD, Indigo, Tastatura Internationala, Manual RO","3.399,99"
eMAG,"Laptop Apple MacBook Air 13"", cu procesor Apple M4, 10 nuclee CPU si 8 nuclee GPU, 16GB RAM, 256GB, Midnight, Tastatura Internationala, Manual RO","4.499,99"
eMAG,"Laptop Apple MacBook Air 13"", cu procesor Apple M4, 10 nuclee CPU si 8 nuclee GPU, 16GB RAM, 256GB, Sky Blue, Tastatura Internationala, Manual RO","4.799,99"
eMAG,"Laptop Gaming Acer Nitro V15 ANV15-51-72C4 cu procesor Intel® Core™ i7-13620H pana la 4.9GHz, 15.6'', Full HD, IPS, 165Hz, 16GB DDR5 RAM, 1TB SSD, NVIDIA® GeForce RTX™ 4050 6GB GDDR6, No OS, Obsidian Black","6.721,27"
eMAG,"Laptop Lenovo IdeaPad Slim 3 15AMN8 cu procesor AMD Ryzen™ 5 7520U pana la 4.3GHz, 15.6"" Full HD, 16GB LPDDR5 RAM, 512GB SSD, AMD Radeon™ 610M Graphics, No OS, Abyss Blue","2.099,99"
eMAG,"Apple MacBook Neo 13"" Retina cu procesor Apple A18 Pro 6 nuclee CPU, 5 nuclee GPU, 16 nuclee NeuralEngine, 8GB RAM, 256GB SSD, Silver, Tastatura Internationala, Manual RO","3.399,99"
