Store,Product,Price
eMAG,"Laptop ASUS Vivobook S16 OLED M5606KA cu procesor AMD Ryzen™ AI 7 350 pana la 5.0GHz, 16'', 3K, OLED, 120Hz, 24GB LPDDR5X RAM, 1TB SSD, AMD Radeon™ Graphics, No OS, Neutral Black","6.018,37"
eMAG,"Laptop 15.6"" cu procesor Intel Alder Lake N95, 16GB RAM, 512GB SSD, 1920*1080 FHD, Windows 11 Pro, Intel® UHD Graphics 600, 5GHz Wifi, 5000mAh, Argintiu","1.698,84"
eMAG,"Laptop Lenovo IdeaPad Slim 5 14AKP10 cu procesor AMD Ryzen™ AI 7 350 pana la 5.0GHz, 14"" WUXGA, OLED, 32GB DDR5 RAM, 1TB SSD, AMD Radeon™ 860M Graphics, No OS, Cosmic Blue","4.769,82"
eMAG,"Laptop Lenovo Yoga Slim 7 14ILL10 cu procesor Intel® Core™ Ultra 5 226V pana la 4.5GHz, 14"" WUXGA, OLED, 16GB LPDDR5x RAM, 512GB SSD, Intel® Arc™ Graphics, Windows® 11 Home, Luna Grey, 3y on-site Premium Care","5.449,84"
eMAG,"Laptop Apple MacBook Air 13"", cu procesor Apple M4, 10 nuclee CPU si 8 nuclee GPU, 16GB RAM, 256GB, Midnight, Tastatura Internationala, Manual RO","4.499,99"
eMAG,"Laptop Gaming Lenovo Legion 5 15AHP10 cu procesor AMD Ryzen™ 7 260 pana la 5.1GHz, 15.1"" WQXGA, OLED, 165Hz, 24GB DDR5, 1TB SSD, NVIDIA® GeForce RTX™ 5050 8GB GDDR7, NO OS, Eclipse Black, 3y Premium Care","6.909,10"
eMAG,"Apple MacBook Neo 13"" Retina cu procesor Apple A18 Pro 6 nuclee CPU, 5 nuclee GPU, 16 nuclee NeuralEngine, 8GB RAM, 256GB SSD, Indigo, Tastatura Internationala, Manual RO","3.299,99"
eMAG,"Laptop Lenovo Yoga Pro 7 14IMH9 cu procesor Intel® Core™ Ultra 7 155H pana la 4.8GHz, 14.5"", 2.8K, OLED, 120Hz, 32GB LPDDR5x, 1TB SSD, NVIDIA® GeForce RTX™ 4050 6GB GDDR6, No OS, Tidal Teal, 3y on-site Premium Care","9.199,63"
eMAG,"Laptop Gaming Acer Nitro V16 ANV16-71-7180 cu procesor Intel® Core™ i7-14650HX pana la 5.2GHz, 16'', WUXGA, IPS, 165Hz, 16GB DDR5 RAM, 1TB SSD, NVIDIA® GeForce RTX™ 4060 8GB GDDR6, No OS, Obsidian Black","6.359,76"
eMAG,"Laptop Gaming Lenovo Legion Pro 5 16IAX10H cu procesor Intel® Core™ Ultra 9 275HX pana la 5.4GHz, 16"" WQXGA, OLED, 165Hz, 32GB DDR5 RAM, 1TB SSD, NVIDIA® GeForce RTX™ 5070 Ti 12GB GDDR7, No OS, Eclipse Black, 3y on-site Premium Care","10.999,99"
eMAG,"Laptop Lenovo Yoga 7 2-in-1 16ILL10 cu procesor Intel® Core Ultra 7 256V pana la 4.8GHz, 16"" 2.8K, WQXGA+, OLED, 120Hz, Touch, 16GB LPDDR5x RAM, 512GB SSD, Intel® Arc™ Graphics, Windows 11 Home, Luna Grey, 3y on-site Premium Care","6.828,18"
eMAG,"Apple MacBook Neo 13"" Retina cu procesor Apple A18 Pro 6 nuclee CPU, 5 nuclee GPU, 16 nuclee NeuralEngine, 8GB RAM, 512GB SSD, Indigo, Tastatura Internationala, Manual RO","3.799,99"
eMAG,"Apple MacBook Neo 13"" Retina cu procesor Apple A18 Pro 6 nuclee CPU, 5 nuclee GPU, 16 nuclee NeuralEngine, 8GB RAM, 256GB SSD, Blush, Tastatura Internationala, Manual RO","3.299,99"
