Store,Product,Price
eMAG,"Laptop Apple MacBook Air 15"", cu procesor Apple M4, 10 nuclee CPU si 10 nuclee GPU, 16GB, 256GB, Midnight, Tastatura Internationala, Manual RO","5.399,99"
eMAG,"Laptop Lenovo ThinkPad X1 Carbon Gen 13 Aura Edition, 21NS004MBM, 14"", Intel Core Ultra 7 258V (8-core), Intel Arc 140V 8 Core, 32GB 8533MHz LPDDR5x, Albastru","17.233,85"
eMAG,"Laptop Lenovo LOQ 17IRX10, 83JH003RBM, 17.3"", Intel Core i7-13650HX (14-core), NVIDIA GeForce RTX 5060 (8GB GDDR7), 32GB 4800MHz (2x16GB) DDR5, Gri","9.232,94"
eMAG,"Laptop Gaming Acer Nitro V 15 ANV15-52-953S cu procesor Intel® Core™ i9-13900H pana la 5.4GHZ, 15.6"" Full HD, IPS, 165Hz, 32GB DDR4, 1TB SSD, NVIDIA® GeForce RTX™ 5060, No OS, Black","6.999,99"
eMAG,"Laptop ASUS Vivobook S16 S5606CA cu procesor Intel® Core™ Ultra 7 255H pana la 5.1 GHz, 16'', 3K, OLED, 120Hz, 16GB LPDDR5X RAM, 1TB SSD, Intel® Arc™ Graphics, Windows 11 Pro, Mist Blue","7.229,38"
eMAG,"Laptop Gaming Lenovo Legion Pro 7 16IAX10H cu procesor Intel® Core™ Ultra 9 275HX pana la 5.4GHz, 16"" WQXGA, OLED, 240Hz, 32GB DDR5 RAM, 1TB SSD, NVIDIA® GeForce RTX™ 5080 16GB GDDR7, No OS, Eclipse Black, 3y on-site Premium Care","17.499,99"
eMAG,"Laptop Business Dell Pro 15 Essential cu procesor Intel® Core™ i5-1334U pana la 4.60 GHz, 15.6"", Full HD, 120Hz, 16GB RAM, 512GB SSD, Intel® UHD Graphics, Ubuntu, FPR, Backlit, 3y ProSupport and Next Business Day Onsite","2.599,99"
eMAG,"Laptop Lenovo V15 G4 IRU cu procesor Intel® Core™ i5-13420H pana la 4.6GHz, 15.6"" Full HD, IPS, 16GB DDR4 RAM, 512GB SSD, Intel® UHD Graphics, No OS, Business Black","2.499,99"
eMAG,"Laptop Lenovo IdeaPad Pro 5 16AKP10, 83JN002EBM, 16"", AMD Ryzen AI 7 350 (8-core), NVIDIA GeForce RTX 5050 (8GB GDDR7), 32GB 8000MHz LPDDR5x, Argintiu","10.194,07"
eMAG,"Laptop Lenovo IdeaPad Slim 3 16AHP10, 83KB002UBM, 16"", AMD Ryzen 7 8840HS (8 nuclee), AMD Radeon 780M, 24GB 5600MHz (1x8GB onboard) DDR5, Gri","5.961,01"
