Store,Product,Price
eMAG,"Placa video MSI GeForce RTX™ 5070 SHADOW 2X OC, 12GB GDDR7, 192-bit","3.499,99"
eMAG,"Placa video MSI GeForce RTX™ 5070 12G VENTUS 2X OC WHITE, 12GB GDDR7, 192-bit","3.599,99"
eMAG,"Placa video PALIT GeForce RTX™ 3050 StormX, 8GB, GDDR6, 128-bit","1.169,99"
eMAG,"Placa video XFX Mercury AMD Radeon RX 9070XT OC Magnetic Air Edition, 16GB GDDR6, 256-bit","4.549,99"
eMAG,Placa video Gainward RTX 5050 Ghost 8GB GDDR6 128-bit,"1.449,99"
eMAG,"Placa video GIGABYTE GeForce RTX™ 5090 GAMING OC, 32GB GDDR7, 512-bit","21.999,99"
eMAG,Placa Video POWERCOLOR HELLDHOUND AMD RADEON RX 9060 XT 8GB,"1.999,99"
eMAG,"Placa video ASUS GeForce RTX 5060 Ti, 16 GB GDDR7, alb, 2 ventilatoare, 229x50x120mm","3.999,99"
eMAG,"Placa video GIGABYTE GeForce RTX™ 5070 EAGLE OC SFF, 12GB GDDR7, 192-bit","3.519,99"
eMAG,"Placa Video Sparkle Intel Arc B580 TITAN NOX OC 12G, 12GB, OC","1.679,64"
eMAG,"Placa video GIGABYTE GeForce RTX™ 5070 AERO OC, 12GB GDDR7, 192-bit","4.229,99"
eMAG,"Placa video SPARKLE Intel® Arc™ B580 TITAN OC, 12GB GDDR6, 192-bit","1.814,99"
eMAG,"Placa video MSI GeForce RTX™ 5060 8G VENTUS 2X OC WHITE, 8GB GDDR7, 128-bit","1.899,99"
eMAG,"Placa video GIGABYTE GeForce RTX™ 5070 Ti WINDFORCE OC SFF, 16GB GDDR7, 256-bit","5.799,99"
eMAG,"Placa video Gigabyte GeForce RTX 5060 AERO OC 8G, GDDR7, 128-bit, Alb","2.277,74"
eMAG,"Placa video GIGABYTE GeForce RTX™ 5070 Ti EAGLE OC SFF, 16GB GDDR7, 256-bit","5.929,99"
eMAG,"Placa video ASUS Prime GeForce RTX™ 5060 Ti OC, 8GB GDDR6, 128-bit","2.423,39"
eMAG,"Placa video PNY RTX A2000 ADA Generation 16GB, 4 x miniDisplayPort 1.4","4.082,24"
eMAG,"Placa video MSI GeForce RTX™ 5060 Ti 16G GAMING OC, 16GB GDDR7, 128-bit","3.529,99"
eMAG,"Placa video ASUS Dual GeForce RTX™ 5060 White OC Edition, 8GB GDDR7, 128-bit","2.412,49"
eMAG,"Placa video ASUS PRIME GeForce RTX™ 5050 OC Edition, 8GB GDDR6, 128-bit","1.699,99"
eMAG,"Placa video MSI GeForce RTX 5080 16G VENTUS 3X OC WHITE, GDDR7, 256-bit","7.379,99"
eMAG,"Placa video INNO3D NVIDIA GeForce RTX™ 5060 Ti X3 OC, 8GB GDDR6, 128-bit","2.349,99"
eMAG,"Placa video MSI GeForce RTX™ 5070 Ti 16G VENTUS 3X OC, 16GB GDDR7, 256-bit","5.499,99"
eMAG,"Placa video GeForce RTX™ 5080 AERO OC SFF, 16GB GDDR7, 256-bit","8.059,99"
eMAG,"Placa video MSI GeForce RTX 3050 VENTUS 2X E 6G OC, GDDR6, 96-bit, Negru","1.364,36"
eMAG,Placa video Biostar AMD Radeon RX550 V2 4GB 128bit,"564,68"
eMAG,Placa video Inno3D GeForce RTX 5080 16GB X3 OC GDDR7 256-bit DLSS 4.0,"7.738,99"
eMAG,"Placa video LUNAHORNET GeForce GTX750TI 4GB GDDR5 128BIT, Graphics Card, Ideal for HTPC & Office, Silent Cooling","899,30"
eMAG,"Placa video ASUS PRIME GeForce RTX™ 5080 OC Edition, 16GB GDDR7, 256-bit","7.849,99"
eMAG,"Placa video MSI GeForce RTX™ 5070 12G INSPIRE 3X OC, 12GB GDDR7, 192-bit","3.549,99"
eMAG,"Placa video Gigabyte Radeon RX 7600 GAMING OC, 8GB GDDR6, 128-bit","1.704,99"
eMAG,"Placa Video RX 470, 4GB GDDR5 256-bit, DVI-D HDMI DP, 1 x 6 pini","600,00"
eMAG,"Placa video MSI GeForce RTX™ 5060 Ti 8G VENTUS 2X OC WHITE PLUS, 8GB GDDR7, 128-bit, Alb","2.499,99"
eMAG,"Placa video Gigabyte GeForce RTX 5050 WINDFORCE OC 8G, GDDR6, 128 bit, Negru","1.649,99"
eMAG,Placa video BIOSTAR GeForce RTX 3060 TI 8GB GDDR6,"2.088,21"
eMAG,Placa Video Asrock Creator R9700 CT 32GB,"9.580,19"
eMAG,"Placa Video PALIT GEFORCE RTX 5060 TI INFINITY 3 OC 16GB GDDR7 128 bit, PCIE 5.0, 1x HDMI 3x DP","3.249,99"
eMAG,"Placa video MSI GeForce RTX 5060 Ti 8G SHADOW 3X OC CLASSIC, 8GB GDDR7, 128-bit, Negru","2.693,98"
eMAG,"Placa video XFX SPEEDSTER MERC 310 AMD Radeon™ RX 7900 XTX Black Edition, 24GB GDDR6, 384-bit","6.042,99"
eMAG,"Placa video ASRock RX9060 XT Challenger 16GB, GDDR6, 128bit, RGB, 1xHDMI, 2xDisplayPort","2.429,99"
eMAG,"Placa video GIGABYTE GeForce RTX™ 5070 WindForce SFF, 12GB GDDR7, 192-bit","4.414,77"
eMAG,"Placa video BIOSTAR GeForce GT730, 4GB, GDDR3, 128 bit, DVI-I, D-Sub, HDMI","391,85"
eMAG,"Placa video MSI GeForce RTX™ 5080 VENTUS 3X OC, 16GB GDDR7, 256-bit","7.089,99"
eMAG,"Placa video MSI GeForce RTX™ 5060 8G GAMING OC, 8GB GDDR7, 128-bit","1.999,99"
eMAG,"Placa video GIGABYTE GeForce RTX™ 5070 EAGLE OC ICE SFF, 12GB GDDR7, 192-bit","4.089,74"
eMAG,"Placa video R7 350 2GB GDDR5 128-bit, VGA DVI-D HDMI","300,00"
eMAG,Placa video ASUS Dual GeForce RTX 5060 Ti 16GB GDDR7 OC Edition,"3.488,99"
eMAG,"Placa video PNY GeForce RTX™ 5070, 12GB GDDR7, 192-bit","3.981,87"
eMAG,"Placa video MSI GeForce RTX 3050 VENTUS 2X XS 8G OC, 8GB GDDR6, 128-bit","1.526,30"
eMAG,"Placa video XFX Speedster SWFT 210 AMD Radeon™ RX 7600 Core Edition, 8GB GDDR6, 128-bit","1.658,99"
eMAG,"Placa video Gigabyte GeForce RTX 5060 Ti GAMING OC 8G, 128 bit, Negru","2.517,62"
eMAG,"Placa video XFX Swift AMD Radeon™ RX 9060 XT OC Gaming Edition, 16GB GDDR6, 128-bit","2.820,10"
eMAG,"Placa video, AFOX, Negru","187,25"
