Store,Product,Price
eMAG,"Laptop Gaming ASUS ROG Zephyrus G16 GU605CX cu procesor Intel® Core™ Ultra 9 285H pana la 5.4GHz, 16"", 2.5K WQXGA, OLED, 240Hz, G-Sync, 64GB LPDDR5X, 2TB SSD, NVIDIA® GeForce RTX™ 5090 24GB GDDR7, No OS, Platinum White","27.012,77"
eMAG,"Laptop Gaming ASUS ROG Zephyrus G16 GU605CX cu procesor Intel® Core™ Ultra 9 285H pana la 5.4GHz, 16"", 2.5K WQXGA, OLED, 240Hz, G-Sync, 64GB LPDDR5X, 2TB SSD, NVIDIA® GeForce RTX™ 5090 24GB GDDR7, No OS, Platinum White","27.012,77"
eMAG,"Laptop HP HyperX Omen 15-ga0004nw, 2.5K, Intel Core i7-14650HX, 24 GB RAM, 1 TB SSD, GeForce RTX 5060, negru","10.591,03"
eMAG,"Laptop HP HyperX Omen 15-ga0004nw, 2.5K, Intel Core i7-14650HX, 24 GB RAM, 1 TB SSD, GeForce RTX 5060, negru","10.591,03"
eMAG,"Laptop Apple MacBook Air 13"", cu procesor Apple M4, 10 nuclee CPU si 8 nuclee GPU, 16GB RAM, 256GB, Midnight, Tastatura Internationala, Manual RO","4.799,99"
eMAG,"Laptop Apple MacBook Air 13"", cu procesor Apple M4, 10 nuclee CPU si 8 nuclee GPU, 16GB RAM, 256GB, Midnight, Tastatura Internationala, Manual RO","4.799,99"
eMAG,"Laptop Lenovo IdeaPad Slim 3 15IRH10 cu procesor Intel® Core™ i7-13620H pana la 4.9GHz, 15.3"" WUXGA, IPS, 24GB DDR5 RAM, 1TB SSD, Intel® UHD Graphics, No OS, METAL, Luna Grey","3.872,00"
eMAG,"Laptop Lenovo IdeaPad Slim 3 15IRH10 cu procesor Intel® Core™ i7-13620H pana la 4.9GHz, 15.3"" WUXGA, IPS, 24GB DDR5 RAM, 1TB SSD, Intel® UHD Graphics, No OS, METAL, Luna Grey","3.872,00"
eMAG,"Laptop HP Victus 15-fb3092nw, AMD Ryzen 7 7445H, 16 GB RAM, 512 GB SSD, GeForce RTX 3050, FHD 15,6"", negru","5.763,24"
eMAG,"Laptop HP Victus 15-fb3092nw, AMD Ryzen 7 7445H, 16 GB RAM, 512 GB SSD, GeForce RTX 3050, FHD 15,6"", negru","5.763,24"
eMAG,"Laptop HP OmniBook 5, AMD Ryzen 7 350, 16 GB RAM, 512 GB SSD, OLED 2K, 16 inch, Srebrny","6.071,90"
